ID_Crypto,price,date
BNB,297.1454222726345,2023-12-27
BNB,323.4162880480637,2023-12-28
BNB,323.3739475628496,2023-12-29
BNB,313.6202885727052,2023-12-30
BNB,317.47480395153906,2023-12-31
BNB,312.13562141703204,2024-01-01
BNB,314.8090243019822,2024-01-02
BNB,312.1281269389321,2024-01-03
BNB,316.2568698145509,2024-01-04
BNB,323.1908908831624,2024-01-05
BNB,317.1360633838788,2024-01-06
BNB,307.5822810158495,2024-01-07
BNB,302.34431251494595,2024-01-08
BNB,304.4079114436878,2024-01-09
BNB,301.0258937007486,2024-01-10
BNB,305.3729176547247,2024-01-11
BNB,308.2886658578193,2024-01-12
BNB,296.78385646671904,2024-01-13
BNB,302.1937344871412,2024-01-14
BNB,299.40249177259903,2024-01-15
BNB,317.96910509773306,2024-01-16
BNB,315.48070323291495,2024-01-17
BNB,309.34175002958136,2024-01-18
BNB,314.5677329220257,2024-01-19
BNB,314.0674293261276,2024-01-20
BNB,315.97627175384287,2024-01-21
BNB,318.6325570123344,2024-01-22
BNB,304.7222133333107,2024-01-23
BNB,298.5095874866432,2024-01-24
BNB,293.3538084214872,2024-01-25
BNB,292.0604392592448,2024-01-26
BNB,302.0226742114041,2024-01-27
BNB,305.7822741600565,2024-01-28
BNB,304.8048510071795,2024-01-29
BNB,310.7480866931902,2024-01-30
BNB,307.3215919447753,2024-01-31
BNB,300.2133197962691,2024-02-01
BNB,299.91140489999145,2024-02-02
BNB,301.1743543985105,2024-02-03
BNB,299.718153248542,2024-02-04
BNB,304.7648432086672,2024-02-05
BNB,300.81169435831123,2024-02-06
BNB,302.80203539789846,2024-02-07
BNB,307.8797114234207,2024-02-08
BNB,319.31080021633784,2024-02-09
BNB,323.39926577986324,2024-02-10
BNB,322.83361107940965,2024-02-11
BNB,320.51049489651786,2024-02-12
BNB,327.9132978808212,2024-02-13
BNB,325.11173255625624,2024-02-14
BNB,333.8536985075189,2024-02-15
BNB,355.02746003084934,2024-02-16
BNB,360.9578828784416,2024-02-17
BNB,352.82914719992834,2024-02-18
BNB,350.1690092811547,2024-02-19
BNB,351.8214066446114,2024-02-20
BNB,355.1049978271054,2024-02-21
BNB,378.9295030528572,2024-02-22
BNB,382.1413995274651,2024-02-23
BNB,375.42971250175134,2024-02-24
BNB,381.9276527408514,2024-02-25
BNB,388.5627138238604,2024-02-26
BNB,401.2142854224812,2024-02-27
BNB,395.0555551914822,2024-02-28
BNB,416.2538492385853,2024-02-29
BNB,399.78649632596665,2024-03-01
BNB,407.3488446334545,2024-03-02
BNB,410.8365341154477,2024-03-03
BNB,414.1969057841646,2024-03-04
BNB,420.0075598101946,2024-03-05
BNB,396.6567264804029,2024-03-06
BNB,428.8021344903565,2024-03-07
BNB,473.4638575740399,2024-03-08
BNB,485.3064086191258,2024-03-09
BNB,490.1373606436068,2024-03-10
BNB,528.9501964460305,2024-03-11
BNB,522.8420431012881,2024-03-12
BNB,539.4042062887337,2024-03-13
BNB,628.4543092213498,2024-03-14
BNB,603.2657507579988,2024-03-15
BNB,621.6567029445225,2024-03-16
BNB,575.4381141809567,2024-03-17
BNB,572.0297309383858,2024-03-18
BNB,554.2073180923328,2024-03-19
BNB,507.01221814701705,2024-03-20
BNB,553.9736630061594,2024-03-21
BNB,542.2669355966566,2024-03-22
BNB,558.2416748362612,2024-03-23
BNB,571.4226704582827,2024-03-24
BNB,588.9637451121072,2024-03-25
BNB,580.8084465380341,2024-03-26
BNB,574.9647427253244,2024-03-27
BNB,584.6563251494673,2024-03-28
BNB,618.480401934004,2024-03-29
BNB,604.0657524507568,2024-03-30
BNB,605.8246251592882,2024-03-31
BNB,578.0658310320588,2024-04-01
BNB,557.8088457034038,2024-04-02
BNB,563.6604275705907,2024-04-03
BNB,582.2120309913747,2024-04-04
BNB,581.2321349571002,2024-04-05
BNB,588.0726899777093,2024-04-06
BNB,582.0035272474195,2024-04-07
BNB,588.5439850109276,2024-04-08
