Crypto_Code,price,date
SOL,112.32551605046484,2023-12-27
SOL,106.97705414292456,2023-12-28
SOL,102.25382476175544,2023-12-29
SOL,106.25256071597002,2023-12-30
SOL,101.98883539812844,2023-12-31
SOL,101.33317837845608,2024-01-01
SOL,109.44408162860024,2024-01-02
SOL,106.66317351273965,2024-01-03
SOL,98.618625629318,2024-01-04
SOL,104.8407815170403,2024-01-05
SOL,99.79527781452578,2024-01-06
SOL,93.67595830573332,2024-01-07
SOL,88.92454619256625,2024-01-08
SOL,97.65874169169724,2024-01-09
SOL,98.7515137293353,2024-01-10
SOL,102.413481811144,2024-01-11
SOL,99.98590880200555,2024-01-12
SOL,91.49974928746796,2024-01-13
SOL,95.63334726603964,2024-01-14
SOL,94.1186359105014,2024-01-15
SOL,94.39674016420685,2024-01-16
SOL,97.55676426862225,2024-01-17
SOL,101.501259573175,2024-01-18
SOL,94.28013186654483,2024-01-19
SOL,93.32520105608964,2024-01-20
SOL,92.58976400255906,2024-01-21
SOL,91.1623559089012,2024-01-22
SOL,83.43623260957541,2024-01-23
SOL,84.09771204633358,2024-01-24
SOL,88.97403797468365,2024-01-25
SOL,86.98335038241241,2024-01-26
SOL,92.36475145633212,2024-01-27
SOL,94.07418620571138,2024-01-28
SOL,95.96656618849008,2024-01-29
SOL,101.41999625662424,2024-01-30
SOL,101.49112290376424,2024-01-31
SOL,96.93179951000184,2024-02-01
SOL,97.79003124090778,2024-02-02
SOL,100.46548063117392,2024-02-03
SOL,97.76713809513306,2024-02-04
SOL,95.472109662347,2024-02-05
SOL,95.6680193380418,2024-02-06
SOL,96.91999534970712,2024-02-07
SOL,100.8620197849941,2024-02-08
SOL,102.90366855652807,2024-02-09
SOL,107.0340359221691,2024-02-10
SOL,108.9914614336289,2024-02-11
SOL,107.42381253614128,2024-02-12
SOL,112.03681818642012,2024-02-13
SOL,112.5991116485891,2024-02-14
SOL,116.97610655690056,2024-02-15
SOL,113.5993942511846,2024-02-16
SOL,110.50155056850862,2024-02-17
SOL,108.92851023151393,2024-02-18
SOL,112.21541634982898,2024-02-19
SOL,111.27808859030418,2024-02-20
SOL,108.56412084328196,2024-02-21
SOL,105.34263381767492,2024-02-22
SOL,102.0417796526056,2024-02-23
SOL,100.09194937035414,2024-02-24
SOL,104.18872590266118,2024-02-25
SOL,103.4386239643384,2024-02-26
SOL,109.84509740259054,2024-02-27
SOL,108.17696263039224,2024-02-28
SOL,117.4302841375136,2024-02-29
SOL,125.6818167628113,2024-03-01
SOL,130.0470586239426,2024-03-02
SOL,129.8816532496919,2024-03-03
SOL,130.30611971907615,2024-03-04
SOL,133.32371555063142,2024-03-05
SOL,126.39112339694104,2024-03-06
SOL,130.66706419099268,2024-03-07
SOL,144.10503256536765,2024-03-08
SOL,145.19146101509426,2024-03-09
SOL,144.81714849291387,2024-03-10
SOL,144.25771555596154,2024-03-11
SOL,148.79327935268395,2024-03-12
SOL,150.72986927133826,2024-03-13
SOL,163.62579653208232,2024-03-14
SOL,176.2229997396476,2024-03-15
SOL,183.9242834890865,2024-03-16
SOL,180.8017384218832,2024-03-17
SOL,202.51891185720268,2024-03-18
SOL,196.3452934243912,2024-03-19
SOL,169.59755629640884,2024-03-20
SOL,178.58998638452803,2024-03-21
SOL,170.5983948654456,2024-03-22
SOL,174.8294796223124,2024-03-23
SOL,184.9753370265799,2024-03-24
SOL,190.20810073098664,2024-03-25
SOL,191.86323892983788,2024-03-26
SOL,186.2909551876995,2024-03-27
SOL,188.7242100259745,2024-03-28
SOL,192.3821697600841,2024-03-29
SOL,196.05277136201383,2024-03-30
SOL,200.35637675630767,2024-03-31
SOL,193.00121522966364,2024-04-01
SOL,184.212957790232,2024-04-02
SOL,186.0325177571356,2024-04-03
SOL,182.66347641279563,2024-04-04
SOL,175.05337912981565,2024-04-05
SOL,178.51519724232352,2024-04-06
SOL,178.4082335203283,2024-04-07
SOL,180.82707809756488,2024-04-08
SOL,173.80865861880798,2024-04-09
SOL,174.00550178793128,2024-04-10
SOL,172.89882836522995,2024-04-11
SOL,151.33840637468404,2024-04-12
SOL,142.41346978102789,2024-04-13
SOL,150.53958485787084,2024-04-14
SOL,139.8512721195295,2024-04-15
SOL,137.34742538128546,2024-04-16
SOL,134.17199947038497,2024-04-17
SOL,142.89337298828474,2024-04-18
SOL,144.0183329425794,2024-04-19
SOL,149.33789309283162,2024-04-20
SOL,149.2444333684275,2024-04-21
SOL,158.0498027725669,2024-04-22
SOL,155.26139938708025,2024-04-23
SOL,147.1687454491933,2024-04-24
SOL,145.54095522490204,2024-04-25
SOL,139.0120959351362,2024-04-26
SOL,140.4702379704195,2024-04-27
SOL,138.86611050291174,2024-04-28
SOL,137.93360696910415,2024-04-29
SOL,135.05950393710876,2024-04-30
